time_sec,x,y,theta,v,w
3.47,-3.178797647680233e-12,-2.130327484429843e-26,1.3405222824114738e-14,-4.674730469581256e-12,1.972616406158125e-14
3.479,-3.225544964933309e-12,-2.1934545398210595e-26,1.3602553921432225e-14,-5.1941463614528895e-12,2.192567747972082e-14
3.491,-3.2722923065936393e-12,-2.2575039418711112e-26,1.3799817967621611e-14,-3.895611805027532e-12,1.6438670515782144e-14
3.5,-3.3190396458356906e-12,-2.322474756051838e-26,1.3996764783031582e-14,-5.194148804672369e-12,2.1882979489996777e-14
3.51,-3.365787017635571e-12,-2.3883666672401345e-26,1.4193872958218005e-14,-4.674737179988022e-12,1.971081751864229e-14
3.521,-3.412534376045978e-12,-2.4551799924434787e-26,1.4390982946054948e-14,-4.249759855491537e-12,1.7919089803358472e-14
3.529,-3.4592817085371768e-12,-2.5229150582211796e-26,1.458823882684671e-14,-5.84341656139984e-12,2.4656985098970135e-14
3.529,-3.506029054496199e-12,-2.591571942621741e-26,1.4785357894876846e-14,0.0,0.0
3.548,-3.5527764060117577e-12,-2.661150463581647e-26,1.4982540693665942e-14,-2.4603869218715117e-12,1.0378042041531379e-14
3.56,-3.5995237532413296e-12,-2.731650771118812e-26,1.517973020095597e-14,-3.895612269131001e-12,1.6432458940835613e-14
3.5700000000000003,-3.646271078935089e-12,-2.8030727203157605e-26,1.537686234717481e-14,-4.674732569375932e-12,1.971321462188403e-14
3.58,-3.693018428542706e-12,-2.87541572070311e-26,1.5573769504502196e-14,-4.6747349607617e-12,1.9690715732738658e-14
3.59,-3.739765787514272e-12,-2.948678801330271e-26,1.577049560006676e-14,-4.6747358971566236e-12,1.9672609556456434e-14
3.6,-3.786513196632306e-12,-3.0228625157866135e-26,1.5967611754303536e-14,-4.6747409118034296e-12,1.9711615423677494e-14
3.6109999999999998,-3.833260638320875e-12,-3.097968095477615e-26,1.6164875919077522e-14,-4.249767426233519e-12,1.7933105888544205e-14
3.62,-3.880008080479547e-12,-3.17399585539387e-26,1.6362148621943628e-14,-5.194160239852443e-12,2.1919189207345075e-14
